,DOI_ISBN,n_populations,
1,10.1111/j.1365-2664.2010.01846.x,4,
2,10.3354/meps08442,4,
3,10.1071/WR10080,3,
4,10.1163/157075610X523260,3,can't access: paywall
5,10.1644/09-MAMM-A-047.1,3,
6,10.3354/meps08437,3,
7,10.1890/08-0305.1,2,
8,10.1890/08-2060.1,2,
9,10.2193/2008-093,2,
10,10.3354/meps08595,2,
11,10.1007/s10646-010-0507-y,1,
12,10.1007/s10764-010-9461-z,1,
13,10.1016/j.biocon.2009.12.010,1,
14,10.1016/j.ecolmodel.2010.06.026,1,
15,10.1098/rspb.2009.1724,1,
16,10.1655/09-005.1,1,
17,10.1890/09-1641,1,
18,10.2744/CCB-0778.1,1,
