,DOI_ISBN,n_populations,
1,10.1016/j.biocon.2016.09.016.,12,
2,10.1093/jme/tjw021,8,
3,10.1655/HERPETOLOGICA-D-12-00038R2,8,
4,10.1111/cobi.12429,6,
5,10.1007/s00442-011-1931-2,5,
6,10.1016/j.ecss.2015.06.021,4,
7,10.5061/dryad.480tf,4,
8,10.7936/K7DB7ZTD,4,
9,10.1002/jwmg.628,3,
10,10.1007/s00442-015-3222-9,3,
11,10.1007/s11270-014-2207-3,3,
12,10.1016/j.jembe.2011.07.018,3,
13,10.1676/12-154.1,3,
14,10.3354/meps09094,3,
15,10.1007/s00338-015-1341-8),2,
16,10.1007/s10980-013-9896-7,2,
17,10.1016/j.biocon.2013.05.008,2,
18,10.1016/j.biocon.2013.07.008,2,
19,10.1111/eea.12325,2,
20,10.1111/gcb.13014 ,2,
21,10.1111/j.1600-0706.2011.19436.x,2,
22,10.1890/11-0488.1,2,
23,10.1002/aqc.2243,1,
24,10.1002/ece3.1290,1,
25,10.1002/ece3.984,1,
26,10.1002/jwmg.835,1,
27,10.1002/wmon.1012,1,
28,10.1007/s00227-012-1933-6,1,
29,10.1007/s00338-015-1269-z,1,
30,10.1007/s00442-010-1761-7,1,
31,10.1007/s00442-011-2070-5,1,
32,10.1007/s10144-012-0306-9,1,
33,10.1007/s10144-016-0562-1,1,
34,10.1007/s10336-011-0758-2,1,
35,10.1007/s10646-010-0507-y,1,
36,10.1007/s11252-016-0566-9,1,
37,10.1016/j.ecolmodel.2014.08.021,1,
38,10.1016/j.ecolmodel.2015.12.002,1,
39,10.1016/j.ecolmodel.2017.02.001,1,
40,10.1016/j.ecolmodel.2017.07.023,1,
41,10.1016/j.mambio.2013.03.002,1,no access 
42,10.1017/S0950268812000167,1,
43,10.1080/02755947.2015.1111279,1,
44,10.1111/1365-2656.12109,1,
45,10.1111/1365-2656.12399,1,
46,10.1111/1365-2664.12194,1,
47,10.1111/acv.12054,1,
48,10.1111/cobi.12234,1,
49,10.1111/ibi.12502,1,
50,10.1111/j.1365-2656.2012.02029.x,1,
51,10.1111/rec.12409,1,
52,10.1155/2011/870853,1,
53,10.1155/2015/987060,1,
54,10.1163/15685381-00002843,1,no access 
55,10.1186/1472-6785-12-9,1,
56,10.1371/jourNAl.pone.0094700,1,
57,10.1643/CE-14-191,1,
58,10.1890/ES10-00065.1,1,
59,10.2981/13-021,1,
60,10.3354/meps10377,1,
61,10.3354/meps10547,1,
