"breeding_stages","prop_scenario","matrix_number","uncertainty_level","percentage"
"multiple","f_only",1,"high",0.000199999999999978
"multiple","f_only",1,"low",0
"multiple","f_only",1,"mid",0
"multiple","f_only",2,"high",0.000299999999999967
"multiple","f_only",2,"low",0
"multiple","f_only",2,"mid",0
"multiple","f_only",3,"high",0.000900000000000012
"multiple","f_only",3,"low",0
"multiple","f_only",3,"mid",0
"multiple","f_only",4,"high",0.0175999999999999
"multiple","f_only",4,"low",0
"multiple","f_only",4,"mid",0
"multiple","f_only",5,"high",0.0252
"multiple","f_only",5,"low",0
"multiple","f_only",5,"mid",0
"multiple","full",1,"high",0.0486
"multiple","full",1,"low",0
"multiple","full",1,"mid",0.000199999999999978
"multiple","full",2,"high",0.0523
"multiple","full",2,"low",0
"multiple","full",2,"mid",9.9999999999989e-05
"multiple","full",3,"high",0.0586
"multiple","full",3,"low",0
"multiple","full",3,"mid",0.000199999999999978
"multiple","full",4,"high",0.1044
"multiple","full",4,"low",0
"multiple","full",4,"mid",0.00419999999999998
"multiple","full",5,"high",0.1135
"multiple","full",5,"low",0
"multiple","full",5,"mid",0.00729999999999997
"multiple","s_only",1,"high",0.0476
"multiple","s_only",1,"low",0
"multiple","s_only",1,"mid",0
"multiple","s_only",2,"high",0.0499000000000001
"multiple","s_only",2,"low",0
"multiple","s_only",2,"mid",0
"multiple","s_only",3,"high",0.0620000000000001
"multiple","s_only",3,"low",0
"multiple","s_only",3,"mid",9.9999999999989e-05
"multiple","s_only",4,"high",0.1042
"multiple","s_only",4,"low",0
"multiple","s_only",4,"mid",0.00270000000000004
"multiple","s_only",5,"high",0.1071
"multiple","s_only",5,"low",0
"multiple","s_only",5,"mid",0.00590000000000002
"one","f_only",1,"high",0
"one","f_only",1,"low",0
"one","f_only",1,"mid",0
"one","f_only",2,"high",0.2163
"one","f_only",2,"low",0.1975
"one","f_only",2,"mid",0.1896
"one","f_only",3,"high",0.6558
"one","f_only",3,"low",0.4977
"one","f_only",3,"mid",0.5556
"one","f_only",4,"high",1
"one","f_only",4,"low",1
"one","f_only",4,"mid",1
"one","f_only",5,"high",0.8105
"one","f_only",5,"low",0.792
"one","f_only",5,"mid",0.8131
"one","full",1,"high",0.0222
"one","full",1,"low",0
"one","full",1,"mid",0.000700000000000034
"one","full",2,"high",0.4339
"one","full",2,"low",0.2695
"one","full",2,"mid",0.2773
"one","full",3,"high",0.7211
"one","full",3,"low",0.589
"one","full",3,"mid",0.6603
"one","full",4,"high",1
"one","full",4,"low",1
"one","full",4,"mid",1
"one","full",5,"high",0.824
"one","full",5,"low",0.806
"one","full",5,"mid",0.8142
"one","s_only",1,"high",0.027
"one","s_only",1,"low",0
"one","s_only",1,"mid",0.00129999999999997
"one","s_only",2,"high",0.4365
"one","s_only",2,"low",0.2397
"one","s_only",2,"mid",0.2539
"one","s_only",3,"high",0.7376
"one","s_only",3,"low",0.5756
"one","s_only",3,"mid",0.6437
"one","s_only",4,"high",1
"one","s_only",4,"low",1
"one","s_only",4,"mid",1
"one","s_only",5,"high",0.8133
"one","s_only",5,"low",0.8142
"one","s_only",5,"mid",0.8161
