"Number","Question","Answer1","Answer2","DOI","Year","Author","Comments"
1,"Is there an MPM in original paper?","yes",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
2,"Organism","fish",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
3,"Do they model an observation process for survival?","no","log-linear method","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
4,"Do they model an observation process for fecundity?","no","mean number of larve","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
5,"Was uncertainty reported?","yes","mcmc confidence interval for lambda","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
6,"If reported, was the uncertainty complete for all parameters?","no","survival reproduction","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","three populations are around 1, the other is increasing","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","larvae and zero age survival is most imporant","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
9,"Pre or post breeding census","pre",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
10,"Life cycle correctly estimated?","no",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
11,"What is error if one found?","larvae stage and age = 0, both shorter than 1 year",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
12,"What metric used for fecundity?","number of larvae",NA,"doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
13,"Sample size","190","total pregnant females for reproduction","doi:10.1016/j.ecoenv.2012.01.019 ",2012,"Bergek",NA
1,"Is there an MPM in original paper?","yes",NA,"doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
2,"Organism","sponge",NA,"doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
3,"Do they model an observation process for survival?","no","calculated from one year of observation","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
4,"Do they model an observation process for fecundity?","no","calculated from one year of observation","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
5,"Was uncertainty reported?","yes","bootstrap confidence interval for lambda","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
6,"If reported, was the uncertainty complete for all parameters?","no","survival reproduction","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","all decreasing significantly","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","surviving and remaining in same size class = most important","doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
9,"Pre or post breeding census","can't tell",NA,"doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
10,"Life cycle correctly estimated?","yes",NA,"doi:10.1016/j.jembe.2011.07.018",2011,"Mercado-Molina",NA
