Vital rate,Matrix position,Estimate,Uncertainty1,Uncertainty2,Uncertainty type,Method of estimation,Propagated to final matrix?,Sample size,Which model,DOI,Year,Author,Comments,
lambda,NA,0.94,plotted only,plotted only,confidence interval,mcmc,NA,,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,plotted only ci crosses 0,
lambda,NA,1.13,plotted only,plotted only,confidence interval,mcmc,NA,,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
lambda,NA,plotted only,plotted only,plotted only,confidence interval,mcmc,NA,,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,approx 1,
lambda,NA,plotted only,plotted only,plotted only,confidence interval,mcmc,NA,,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,approx 1,
reproduction 1,"1,3",34,NA,NA,NA,direct calculation,no,not clear,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,gives total sample size of females but not by age,
reproduction 2,"1,4",46,NA,NA,NA,direct calculation,no,not clear,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 3,"1,5",52,NA,NA,NA,direct calculation,no,not clear,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 4,"1,6",68,NA,NA,NA,direct calculation,no,not clear,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 5,"1,7",86,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 1,"1,3",19,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 2,"1,4",23,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 3,"1,5",26,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 4,"1,6",31,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 5,"1,7",31,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 6,"1,8",38,NA,NA,NA,direct calculation,no,not clear,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 1,"1,3",16,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 2,"1,4",17,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 3,"1,5",23,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 4,"1,6",28,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 5,"1,7",38,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 6,"1,8",42,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 7,"1,9",36,NA,NA,NA,direct calculation,no,not clear,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 1,"1,3",12,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 2,"1,4",35,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 3,"1,5",31,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 4,"1,6",34,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 5,"1,7",58,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 6,"1,8",97,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 7,"1,9",70,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
reproduction 8,"1,10",85,NA,NA,NA,direct calculation,no,not clear,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
larvae survival,"2,1",0.026,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 0,"3,2",0.599,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 1,"4,3",0.681,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 2,"5,4",0.416,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 3,"6,5",0.566,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 4,"7,6",0.631,NA,NA,NA,direct calculation,no,not reported,SK,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
larvae survival,"2,1",0.179,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 0,"3,2",0.449,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 1,"4,3",0.449,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 2,"5,4",0.467,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 3,"6,5",0.507,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 4,"7,6",0.383,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 5,"8,7",0.697,NA,NA,NA,direct calculation,no,not reported,BP,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
larvae survival,"2,1",0.107,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
