Vital rate,Estimate,Method of estimation,Sample size,Which model,DOI,Year,Author,Comments
survival 1,0.9,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 2-5,0.96,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 6-15,0.985,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 16-20,0.997,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 21-50,0.985,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 51-60,0.9,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 16-20,0.225,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 21-50,0.225,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 51-60,0.2,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 16-20,0.2243,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 21-50,0.2216,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 51-60,0.18,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 16-20,4.4444,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 21-50,4.4444,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 51-60,5,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
female survival 0-4.9,0.76,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 5-9.9,0.93,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 10-14.9,0.93,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 15-19.9,0.86,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 20-24.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 25-29.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 30-34.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 35-39.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 40-44.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 45-49.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 50-54.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 55-59.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 60+,0,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 0-4.9,0.64,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 5-9.9,0.72,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 10-14.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 15-19.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 20-24.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 25-29.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 30-34.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 35-39.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 40-44.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 45-49.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 50-54.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 55-59.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 60+,0,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 0-4.9,0.84,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 5-9.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 10-14.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 15-19.9,0.97,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 20-24.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 25-29.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 30-34.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 35-39.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 40-44.9,0.9,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 45-49.9,0.93,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 50-54.9,0.74,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 55-59.9,0.74,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 60+,0,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 0-4.9,0.79,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 5-9.9,0.96,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 10-14.9,0.96,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 15-19.9,0.89,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 20-24.9,0.91,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 25-29.9,0.9,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 30-34.9,0.88,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 35-39.9,0.88,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 40-44.9,0.89,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 45-49.9,0.79,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 50-54.9,0.87,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 55-59.9,0.75,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 60+,0,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
YA female to male infant,0.067,direct calculation,852,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
A female to male infant,0.341,direct calculation,4405,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
YA female to female infant,0.06,direct calculation,852,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
A female to female infant,0.345,direct calculation,4405,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival infant,0.877,direct calculation,1558,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival yearling,0.917,direct calculation,1451,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival juvenile,0.964,direct calculation,1216,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival YA,0.991,direct calculation,774,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival A,0.929,direct calculation,2574,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
