"matrix_number","reproductionsurvival_ratio","reproduction_strategy","matrix_size","generation_time"
1,0.2288126714701,"multiple","2x2",5.37
2,0.286752035014087,"multiple","2x2",4.49
3,0.497840904928921,"multiple","2x2",3.01
4,0.788844752747091,"multiple","2x2",2.27
5,1.62668407310705,"multiple","2x2",1.61
1,0.317324634705943,"once","2x2",7.3
2,0.412812933155446,"once","2x2",5.84
3,0.505978117832341,"once","2x2",4.95
4,0.707623813370727,"once","2x2",3.83
5,0.875658445475476,"once","2x2",3.28
1,0.450266081370309,"multiple","3x3",4.7
2,0.681040324813117,"multiple","3x3",3.45
3,1.01550905452141,"multiple","3x3",2.97
4,1.60429429560091,"multiple","3x3",2.04
5,9.29498545889869,"multiple","3x3",1.18
1,0.170647791416046,"once","3x3",18.58
2,0.233462638492206,"once","3x3",13.85
3,0.358832661385654,"once","3x3",9.36
4,0.522109446688396,"once","3x3",8.66
5,0.993119121595899,"once","3x3",3.01
1,0.130335250998823,"multiple","5x5",14.43
2,0.14520725887249,"multiple","5x5",13.05
3,0.177710240824757,"multiple","5x5",10.85
4,0.302313157260343,"multiple","5x5",6.79
5,0.330094949351767,"multiple","5x5",6.3
1,0.432444052697782,"once","5x5",12.56
2,0.999999999999997,"once","5x5",5
3,1,"once","5x5",1.32429985564517e-15
4,1.23255364421083,"once","5x5",5.87
5,1.32609582330858,"once","5x5",5.52
